"t","Luma","Luminance","Shutter Speed (s)","Aperture (f/N)","ISO"
6.102238743E-1,1.790672721E-2,2.478417083E1,1.502300000E-5,1.600000024E0,5.000000000E1
6.143864583E-1,1.786094879E-2,2.469455600E1,1.502300000E-5,1.600000024E0,5.000000000E1
6.185490413E-1,1.791356695E-2,2.474764517E1,1.502300000E-5,1.600000024E0,5.000000000E1
6.227116243E-1,1.788809973E-2,2.476778083E1,1.502300000E-5,1.600000024E0,5.000000000E1
6.268742083E-1,1.792566915E-2,2.473506693E1,1.502300000E-5,1.600000024E0,5.000000000E1
6.310367913E-1,1.780591151E-2,2.471175022E1,1.502300000E-5,1.600000024E0,5.000000000E1
6.351993743E-1,1.799691314E-2,2.479621201E1,1.502300000E-5,1.600000024E0,5.000000000E1
6.393619583E-1,1.783558804E-2,2.478297002E1,1.502300000E-5,1.600000024E0,5.000000000E1
6.435244993E-1,1.769478380E-2,2.469345434E1,1.502300000E-5,1.600000024E0,5.000000000E1
6.476871243E-1,1.794040178E-2,2.481200436E1,1.502300000E-5,1.600000024E0,5.000000000E1
6.518496663E-1,1.784379704E-2,2.471819770E1,1.502300000E-5,1.600000024E0,5.000000000E1
6.560122493E-1,1.785652983E-2,2.473823146E1,1.502300000E-5,1.600000024E0,5.000000000E1
6.601748743E-1,1.796565770E-2,2.486378255E1,1.502300000E-5,1.600000024E0,5.000000000E1
6.643374583E-1,1.800785574E-2,2.485103080E1,1.502300000E-5,1.600000024E0,5.000000000E1
6.685000413E-1,1.785663465E-2,2.477180190E1,1.502300000E-5,1.600000024E0,5.000000000E1
6.726626243E-1,1.796965738E-2,2.478134231E1,1.502300000E-5,1.600000024E0,5.000000000E1
6.768251663E-1,1.775897676E-2,2.476945261E1,1.502300000E-5,1.600000024E0,5.000000000E1
6.809877913E-1,1.789462500E-2,2.479093505E1,1.502300000E-5,1.600000024E0,5.000000000E1
6.851503333E-1,1.788767880E-2,2.475152303E1,1.502300000E-5,1.600000024E0,5.000000000E1
6.893129993E-1,1.785547668E-2,2.474768373E1,1.502300000E-5,1.600000024E0,5.000000000E1
6.934755413E-1,1.788988829E-2,2.473984540E1,1.502300000E-5,1.600000024E0,5.000000000E1
6.976381663E-1,1.784800308E-2,2.477195614E1,1.502300000E-5,1.600000024E0,5.000000000E1
7.018006663E-1,1.778381176E-2,2.477648397E1,1.502300000E-5,1.600000024E0,5.000000000E1
7.059633333E-1,1.798922990E-2,2.480320758E1,1.502300000E-5,1.600000024E0,5.000000000E1
7.101258333E-1,1.771856892E-2,2.469526382E1,1.502300000E-5,1.600000024E0,5.000000000E1
7.142884993E-1,1.790546441E-2,2.473113674E1,1.502300000E-5,1.600000024E0,5.000000000E1
7.184510413E-1,1.776329254E-2,2.472438630E1,1.502300000E-5,1.600000024E0,5.000000000E1
7.226136663E-1,1.784579524E-2,2.474043203E1,1.502300000E-5,1.600000024E0,5.000000000E1
7.267762493E-1,1.788452099E-2,2.474075427E1,1.502300000E-5,1.600000024E0,5.000000000E1
7.309388333E-1,1.789294127E-2,2.476189519E1,1.502300000E-5,1.600000024E0,5.000000000E1
7.351013333E-1,1.772908894E-2,2.471819770E1,1.502300000E-5,1.600000024E0,5.000000000E1
7.392639583E-1,1.792430153E-2,2.478266155E1,1.502300000E-5,1.600000024E0,5.000000000E1
7.434265413E-1,1.782348584E-2,2.478980033E1,1.502300000E-5,1.600000024E0,5.000000000E1
7.475890833E-1,1.779475599E-2,2.473367057E1,1.502300000E-5,1.600000024E0,5.000000000E1
7.517517913E-1,1.791735534E-2,2.475725719E1,1.502300000E-5,1.600000024E0,5.000000000E1
7.559142913E-1,1.790314683E-2,2.476720521E1,1.502300000E-5,1.600000024E0,5.000000000E1
7.600769163E-1,1.800911854E-2,2.479327057E1,1.502300000E-5,1.600000024E0,5.000000000E1
7.642394583E-1,1.780854193E-2,2.475275414E1,1.502300000E-5,1.600000024E0,5.000000000E1
7.684020833E-1,1.787336711E-2,2.474228833E1,1.502300000E-5,1.600000024E0,5.000000000E1
7.725646663E-1,1.797207487E-2,2.482220026E1,1.502300000E-5,1.600000024E0,5.000000000E1
7.767272493E-1,1.799912099E-2,2.484812791E1,1.502300000E-5,1.600000024E0,5.000000000E1
7.808898743E-1,1.772046066E-2,2.480490965E1,1.502300000E-5,1.600000024E0,5.000000000E1
7.850524163E-1,1.786694667E-2,2.476935896E1,1.502300000E-5,1.600000024E0,5.000000000E1
7.892149583E-1,1.785958117E-2,2.477896822E1,1.502300000E-5,1.600000024E0,5.000000000E1
7.933775413E-1,1.792661420E-2,2.477487004E1,1.502300000E-5,1.600000024E0,5.000000000E1
7.975402083E-1,1.790525313E-2,2.478914484E1,1.502300000E-5,1.600000024E0,5.000000000E1
8.017027493E-1,1.776781634E-2,2.474238473E1,1.502300000E-5,1.600000024E0,5.000000000E1
8.058653743E-1,1.793377169E-2,2.485621688E1,1.502300000E-5,1.600000024E0,5.000000000E1
8.100278743E-1,1.802501077E-2,2.488213352E1,1.502300000E-5,1.600000024E0,5.000000000E1
8.141904993E-1,1.799301829E-2,2.483855996E1,1.502300000E-5,1.600000024E0,5.000000000E1
8.183530833E-1,1.790272917E-2,2.471528380E1,1.502300000E-5,1.600000024E0,5.000000000E1
8.225156663E-1,1.784400669E-2,2.472920883E1,1.502300000E-5,1.600000024E0,5.000000000E1
8.266782083E-1,1.777265787E-2,2.467784927E1,1.502300000E-5,1.600000024E0,5.000000000E1
8.308408333E-1,1.794229515E-2,2.468998410E1,1.502300000E-5,1.600000024E0,5.000000000E1
8.350034163E-1,1.799638739E-2,2.475548076E1,1.502300000E-5,1.600000024E0,5.000000000E1
8.391659993E-1,1.785232051E-2,2.482632048E1,1.502300000E-5,1.600000024E0,5.000000000E1
8.433285833E-1,1.790651592E-2,2.480719560E1,1.502300000E-5,1.600000024E0,5.000000000E1
8.474912083E-1,1.799207160E-2,2.480521261E1,1.502300000E-5,1.600000024E0,5.000000000E1
8.516537913E-1,1.767857709E-2,2.479698869E1,1.502300000E-5,1.600000024E0,5.000000000E1
8.558162913E-1,1.795060897E-2,2.485514551E1,1.502300000E-5,1.600000024E0,5.000000000E1
8.599789163E-1,1.791746016E-2,2.482956213E1,1.502300000E-5,1.600000024E0,5.000000000E1
8.641414993E-1,1.810330414E-2,2.485722215E1,1.502300000E-5,1.600000024E0,5.000000000E1
8.683040833E-1,1.793735043E-2,2.483268810E1,1.502300000E-5,1.600000024E0,5.000000000E1
8.724666663E-1,1.804205770E-2,2.484465216E1,1.502300000E-5,1.600000024E0,5.000000000E1
8.766292913E-1,1.775182092E-2,2.476258924E1,1.502300000E-5,1.600000024E0,5.000000000E1
8.807918333E-1,1.770414913E-2,2.475075737E1,1.502300000E-5,1.600000024E0,5.000000000E1
8.849544163E-1,1.794818820E-2,2.488149180E1,1.502300000E-5,1.600000024E0,5.000000000E1
8.891169993E-1,1.786021175E-2,2.484851350E1,1.502300000E-5,1.600000024E0,5.000000000E1
8.932795413E-1,1.790756907E-2,2.475636209E1,1.502300000E-5,1.600000024E0,5.000000000E1
8.974422083E-1,1.802501077E-2,2.481865290E1,1.502300000E-5,1.600000024E0,5.000000000E1
9.016047493E-1,1.783874422E-2,2.472202048E1,1.502300000E-5,1.600000024E0,5.000000000E1
9.057673743E-1,1.785558150E-2,2.464455149E1,1.502300000E-5,1.600000024E0,5.000000000E1
9.099299163E-1,1.797228780E-2,2.477767102E1,1.502300000E-5,1.600000024E0,5.000000000E1
9.140924993E-1,1.789546523E-2,2.469016863E1,1.502300000E-5,1.600000024E0,5.000000000E1
9.182551243E-1,1.775108388E-2,2.467497393E1,1.502300000E-5,1.600000024E0,5.000000000E1
9.224177493E-1,1.790367422E-2,2.479592834E1,1.502300000E-5,1.600000024E0,5.000000000E1
9.265802913E-1,1.784347929E-2,2.474536473E1,1.502300000E-5,1.600000024E0,5.000000000E1
9.307428743E-1,1.770299115E-2,2.471460628E1,1.502300000E-5,1.600000024E0,5.000000000E1
9.349054583E-1,1.788536286E-2,2.477087926E1,1.502300000E-5,1.600000024E0,5.000000000E1
9.390679993E-1,1.792524658E-2,2.474860913E1,1.502300000E-5,1.600000024E0,5.000000000E1
9.432306663E-1,1.781938134E-2,2.478954970E1,1.502300000E-5,1.600000024E0,5.000000000E1
9.473932083E-1,1.797849695E-2,2.486172244E1,1.502300000E-5,1.600000024E0,5.000000000E1
9.515557913E-1,1.784621617E-2,2.480933558E1,1.502300000E-5,1.600000024E0,5.000000000E1
9.557183743E-1,1.788673212E-2,2.478894654E1,1.502300000E-5,1.600000024E0,5.000000000E1
9.598809583E-1,1.785789745E-2,2.475192789E1,1.502300000E-5,1.600000024E0,5.000000000E1
9.640435413E-1,1.789536040E-2,2.477638758E1,1.502300000E-5,1.600000024E0,5.000000000E1
9.682061663E-1,1.783495583E-2,2.482973013E1,1.502300000E-5,1.600000024E0,5.000000000E1
9.723687083E-1,1.778644381E-2,2.473201807E1,1.502300000E-5,1.600000024E0,5.000000000E1
9.765312913E-1,1.796071134E-2,2.473598957E1,1.502300000E-5,1.600000024E0,5.000000000E1
9.806939163E-1,1.785263661E-2,2.481389647E1,1.502300000E-5,1.600000024E0,5.000000000E1
9.848564583E-1,1.788852067E-2,2.478028196E1,1.502300000E-5,1.600000024E0,5.000000000E1
9.890190833E-1,1.785947471E-2,2.470457563E1,1.502300000E-5,1.600000024E0,5.000000000E1
9.931815833E-1,1.784053277E-2,2.468759624E1,1.502300000E-5,1.600000024E0,5.000000000E1
9.973442493E-1,1.785842320E-2,2.469012181E1,1.502300000E-5,1.600000024E0,5.000000000E1
1.001506791E0,1.778170710E-2,2.468762103E1,1.502300000E-5,1.600000024E0,5.000000000E1
1.005669416E0,1.784853212E-2,2.465487959E1,1.502300000E-5,1.600000024E0,5.000000000E1
1.009831999E0,1.790756907E-2,2.468273240E1,1.502300000E-5,1.600000024E0,5.000000000E1
1.013994541E0,1.804479458E-2,2.476575377E1,1.502300000E-5,1.600000024E0,5.000000000E1
1.018157124E0,1.786979001E-2,2.474128857E1,1.502300000E-5,1.600000024E0,5.000000000E1
1.022319749E0,1.789283481E-2,2.472910968E1,1.502300000E-5,1.600000024E0,5.000000000E1
1.026482291E0,1.787020930E-2,2.475141011E1,1.502300000E-5,1.600000024E0,5.000000000E1
1.030644916E0,1.799133456E-2,2.479536924E1,1.502300000E-5,1.600000024E0,5.000000000E1
1.034807541E0,1.790514830E-2,2.475996177E1,1.502300000E-5,1.600000024E0,5.000000000E1
1.038970041E0,1.801522287E-2,2.486875381E1,1.502300000E-5,1.600000024E0,5.000000000E1
1.043132666E0,1.787820865E-2,2.476036939E1,1.502300000E-5,1.600000024E0,5.000000000E1
1.047295208E0,1.802048370E-2,2.482688784E1,1.502300000E-5,1.600000024E0,5.000000000E1
1.051457833E0,1.780327946E-2,2.468076317E1,1.502300000E-5,1.600000024E0,5.000000000E1
1.055620416E0,1.789746670E-2,2.468053733E1,1.502300000E-5,1.600000024E0,5.000000000E1
1.059782999E0,1.794229679E-2,2.474641682E1,1.502300000E-5,1.600000024E0,5.000000000E1
1.063945541E0,1.800943464E-2,2.475586083E1,1.502300000E-5,1.600000024E0,5.000000000E1
1.072270749E0,1.794019213E-2,2.471555647E1,1.502300000E-5,1.600000024E0,5.000000000E1
