"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.505230958E0,-5.908213806E-1,2.083068237E0,7.872578888E0,8.164909156E0
2.515158250E0,-4.842430115E-1,2.282154236E0,7.594906311E0,7.945144500E0
2.525087250E0,-3.445834351E-1,2.448608093E0,7.322472839E0,7.728714500E0
2.535015250E0,-2.887495422E-1,2.565365295E0,7.042704620E0,7.500944192E0
2.544944250E0,-2.050735474E-1,2.658321991E0,6.844816132E0,7.345763326E0
2.554872250E0,-2.408491516E-1,2.702480164E0,6.750811615E0,7.275635011E0
2.564800250E0,-3.385958862E-1,2.690804443E0,6.676566010E0,7.206358956E0
2.574729250E0,-4.604425049E-1,2.533032532E0,6.730004883E0,7.205638544E0
2.584657250E0,-6.270460510E-1,2.320324860E0,6.932384033E0,7.337236713E0
2.594586250E0,-7.908055115E-1,2.087558899E0,7.221882019E0,7.559024766E0
2.604514250E0,-9.280700684E-1,1.858684845E0,7.471712494E0,7.755160282E0
2.614443250E0,-9.638456726E-1,1.731449432E0,7.619006195E0,7.872494587E0
2.624371250E0,-1.035696259E0,1.677262115E0,7.791148224E0,8.036657613E0
2.634300250E0,-1.038989410E0,1.674867096E0,8.018525391E0,8.257204625E0
2.644228250E0,-1.011147308E0,1.814077606E0,8.112529907E0,8.374152968E0
2.654156250E0,-9.563612366E-1,1.906136169E0,8.134683838E0,8.409581622E0
2.664085250E0,-8.126600647E-1,2.013612671E0,8.200397186E0,8.483016349E0
2.674013250E0,-7.018904114E-1,2.060315552E0,8.238567810E0,8.521241100E0
2.683942250E0,-6.120771790E-1,2.084415436E0,8.311316528E0,8.590541812E0
2.693870250E0,-5.774990845E-1,2.026485901E0,8.448730774E0,8.707537079E0
2.703799250E0,-5.566923523E-1,1.941013641E0,8.543184357E0,8.778578432E0
2.713727250E0,-6.212081909E-1,1.922751617E0,8.560248871E0,8.795495104E0
2.723656250E0,-7.493417358E-1,1.971999207E0,8.562643890E0,8.818682685E0
2.733584250E0,-8.375083923E-1,2.114502869E0,8.556656342E0,8.853751207E0
2.743513250E0,-7.746391296E-1,2.404898987E0,8.640332336E0,9.002163507E0
2.753441250E0,-5.861810303E-1,2.739902344E0,8.866961060E0,9.299122081E0
2.763369250E0,-4.276606750E-1,3.010090485E0,9.183702393E0,9.673878644E0
2.773298250E0,-3.736230469E-1,3.105591888E0,9.519304504E0,1.002005257E1
2.783226250E0,-4.897814941E-1,2.994223480E0,9.969717865E0,1.042115802E1
2.793155250E0,-8.244854736E-1,2.921325073E0,1.047102539E1,1.090212315E1
2.803083250E0,-1.057700500E0,2.796933746E0,1.087353836E1,1.127720733E1
2.813012250E0,-1.112336884E0,2.766546936E0,1.116662888E1,1.155788371E1
2.822940250E0,-1.038540344E0,2.885250092E0,1.133667526E1,1.174408107E1
2.832869250E0,-8.126600647E-1,2.968177643E0,1.135493729E1,1.176456951E1
2.842797250E0,-6.280938721E-1,3.011587372E0,1.139355698E1,1.180158044E1
2.852726250E0,-5.137316895E-1,3.039279785E0,1.147798141E1,1.188466235E1
2.862654250E0,-5.378315735E-1,3.100652161E0,1.148771118E1,1.191095356E1
2.872582250E0,-6.252497864E-1,3.212469635E0,1.133847153E1,1.180134886E1
2.882511250E0,-6.979985046E-1,3.249143372E0,1.115869537E1,1.164305016E1
2.892439250E0,-7.503895569E-1,3.104544067E0,1.116138977E1,1.160938844E1
2.902368250E0,-8.402027893E-1,2.843187561E0,1.127874573E1,1.166189356E1
2.912296250E0,-8.897497559E-1,2.592608643E0,1.142409348E1,1.174832694E1
2.922225250E0,-8.924441528E-1,2.443069611E0,1.157198593E1,1.186068734E1
2.932153250E0,-8.729846191E-1,2.355202332E0,1.179142960E1,1.205598988E1
2.942082250E0,-9.048683167E-1,2.297721863E0,1.209948898E1,1.234892490E1
2.952010250E0,-9.033714294E-1,2.302811279E0,1.244781464E1,1.269122173E1
2.961939250E0,-8.583151245E-1,2.394570465E0,1.274240204E1,1.299382477E1
2.971867250E0,-7.262896729E-1,2.564317474E0,1.294717621E1,1.321864564E1
